Name,Damage,Deaths,Season
Katrina,125.00,1833,2005
Sandy,71.40,286,2012
Ike,37.50,195,2008
Wilma,29.30,23,2005
Andrew,26.50,65,1992
Ivan,23.30,124,2004
Irene,16.60,56,2011
Charley,15.10,40,2004
Rita,12.00,62,2005
Frances,9.85,49,2004
Georges,9.72,604,1998
Allison,9.00,50,2001
Jeanne,7.66,3035,2004
Hugo,8.50,56,1989
Floyd,6.90,56,1999
Gustav,6.61,112,2008
Mitch,6.20,19325,1998
Karl,5.60,22,2010
Opal,5.41,27,1995
Isabel,5.37,50,2003
Gilbert,5.00,318,1988
Fran,4.16,26,1996
Dennis,4.00,89,2005
Stan,3.96,1668,2005
Matthew,2.60,126,2010
Luis,2.50,19,1995
Frederic,2.30,12,1979
Isaac,2.30,41,2012
Michelle,2.15,48,2001
Agnes,2.10,124,1972
Alicia,2.00,21,1983
Joan,2.00,216,1988
Alex,1.89,52,2010
Fifi,1.80,8000,1974
Dean,1.78,45,2007
Lee,1.60,18,2011
David,1.54,2068,1979
Bob,1.50,17,1991
Ingrid,1.50,32,2013
Juan,1.50,74,1985
Marilyn,1.50,8,1995
Roxanne,1.50,14,1995
Betsy,1.42,81,1965
Camille,1.42,256,1969
Isidore,1.30,17,2002
Elena,1.25,9,1985
Allen,1.24,269,1980
Dolly,1.05,17,2008
